"Ημερομηνία","Ημέρα","AM","Επίθετο","Ονομα","Διεύθυνση","Συμπληρωματική Διεύθυνση","Δήμος Κοινότητα","Τηλέφωνο 
Φαρμακείου","Τηλέφωνο 
Οικίας"
10/10/20,"Σάββατο",897,"Γρηγοράς","Αντώνης","Κυριάκου Μάτση  14","Θέατρο ""Σκάλα"" κάτω από Διόφαντο","Λάρνακα",24626332,"24657217"
11/10/20,"Κυριακή",500,"Γεωργίου","Λευτέρης","Λεωφ. Αγίων Αναργύρων 50","Πλησίον Τεχνικής Σχολής","Λάρνακα",24631390,"99533388"
11/10/20,"Κυριακή",972,"Θεοφάνους","Δέσπω","Λόρδου Βύρωνος και Γλαύστωνος 1","Έναντι Costa Coffee","Λάρνακα",24622522,"24720083"
12/10/20,"Δευτέρα",546,"Βέρνη","Λένια","Γιάννου Κρανιδιώτη 31-33","Μεταξύ Τροχαίας Λάρνακας & Κτηνιατρείου","Λάρνακα",24638470,"24533055"
12/10/20,"Δευτέρα",630,"Σεργίου","Ανδρέας","Αρχ. Μακαρίου 9","Πλήσιον Αστυνομικού Σταθμού Λάρνακας","Λάρνακα",24623110,"24530445"
13/10/20,"Τρίτη",700,"Κληρίδης","Αντώνης","Πατρών 6","Μεταξύ Κεντρικής Συνεργατικής Τράπεζας και φρουταρίας ¨Ζυγός¨","Λάρνακα",24622754,"24367765"
13/10/20,"Τρίτη",494,"Σταύρου","Μέλιος","Ερμού 41 & Βασιλέως Ευαγόρου 8 ","Έναντι Beauty  Line","Λάρνακα",24628041,"24531731"
14/10/20,"Τετάρτη",532,"Ασπρής","Νίκος","Λεωφόρος  Αρτέμιδος 48","Έναντι Ξεν/χείου ΛΑΓΙΩΤΗ","Λάρνακα",24624928,"24622102"
14/10/20,"Τετάρτη",328,"Ευλαβή","Κατερίνα","Αρχ. Μακαρίου 65Α","Πλησίον ΤΑΙΠΕΙ Κινέζικο εστιατόριο","Λάρνακα",24656469,"24662689"
15/10/20,"Πέμπτη",1113,"Παναγιώτου","Μικαέλλα","Λεωφ. Παπανικολή 39","Απέναντι από το Στάδιο Αντώνης Παπαδόπουλος (Ανόρθωσης)","Λάρνακα",24251166,"24663635"
15/10/20,"Πέμπτη",773,"Καλαϊτζή","Παναγιώτα","Λεωφ. Λεοντίου Μαχαιρά 20Α","Εναντι πρωην Υπ.Σαρρη νυν SUPER DISCOUNT","Λάρνακα",24651205,"24819102"
16/10/20,"Παρασκευή",1116,"Συμεού","Ελένη","Ραφαήλ Σάντη 15","Απέναντι από κλινική Τίμιου Σταυρού","Λάρνακα",24254008,"99921940"
16/10/20,"Παρασκευή",680,"Ορφανίδης","Μισιέλ","Ερμού 24","Αρχή της Ερμού - 50μ. Από φώτα Ακρόπολης","Λάρνακα",24621360,"24531859"
17/10/20,"Σάββατο",1109,"Παπανδριανός","Σπύρος","Λεωφ. Γιάννου Κρανιδιώτη 30","Πάρκινγκ ΑΛΦΑ ΜΕΓΑ","Λάρνακα",24660688,"99970233"
17/10/20,"Σάββατο",972,"Θεοφάνους","Δέσπω","Λόρδου Βύρωνος και Γλαύστωνος 1","Έναντι Costa Coffee","Λάρνακα",24622522,"24720083"
18/10/20,"Κυριακή",657,"Κουλουμά Δημητρίου","Άννα","Ηνωμένων Εθνών 16Α","Δρόμος Λάρνακας-Λεμεσού","Λάρνακα",24642333,"24661155"
18/10/20,"Κυριακή",570,"Ταμπουλλής","Μιχάλης","Αγίου Λαζάρου 50-52","Πλησίον Εκκλησίας Αγίου Λαζάρου","Λάρνακα",24628869,"24362890"
19/10/20,"Δευτέρα",1171,"Καραγιάννη","Άρτεμις","Πηλίου 5","Δρόμος Λεμεσού","Λάρνακα",24624555,"96796010"
19/10/20,"Δευτέρα",417,"Ευλαβής","Ανδρέας","Γρηγ. Αυξεντίου και Νικ. Μυλωνά, γωνία","Μέγαρο Κάριδερς, φώτα Αμερικανικής Ακαδημίας","Λάρνακα",24651317,"24662689"
20/10/20,"Τρίτη",724,"Χριστοφόρου","Ανδρέας","Λαρίσσης 21","Καμάρες - Προς Λεμεσό 400μ. μετά από το Cineplex","Λάρνακα",24364270,"24646753"
20/10/20,"Τρίτη",720,"Σωκράτους - Κυπριανού","Ελένη","Κιλκίς 15 - 17","Ανδρούλλα Court πλησίον Σχολής Καλογραιών","Λάρνακα",24651035,"24624163"
21/10/20,"Τετάρτη",978,"Πασχάλης","Κωνσταντίνος","Λεωφ. Κωνσταντίνου Παλαιολόγου 37","Δρόμος Α.Η.Κ","Λάρνακα",24662233,"99489611"
21/10/20,"Τετάρτη",1090,"Ζόππου","Κωνσταντίνος","Λεωφ. Γρηγόρη Αυξεντίου 40","Έναντι Δημοτική Βιβλιοθήκη. Κάτω από κλινική Δρ. Σίμου Κυριακίδη","Λάρνακα",24400450,"24651003"
22/10/20,"Πέμπτη",758,"Καλαϊτζή","Άντρη","Λεωφ. Ηνωμένων Πολιτειών 9","Δρόμος Νέου Νοσοκομείου εκκλησία Αγίου Γεωργίου Κοντού","Λάρνακα",24638387,"24532906"
22/10/20,"Πέμπτη",662,"Σμυρίλλη - Πύλα","Χριστίνα","Νικοδήμου Μυλωνά 12  ","Έναντι Υπεραγοράς ΜΕΤΡΟ","Λάρνακα",24650777,"24821580"
23/10/20,"Παρασκευή",826,"Ιακωβίδης","Σταύρος","Λεωφ. Φανερωμένης αρ. 189-191",,"Λάρνακα",24637499,"24657045"
23/10/20,"Παρασκευή",1040,"Ελευθερίου","Βασιλική","Παύλου Βαλδασερίδη 30","Δρόμος CARREFOUR, έναντι ΖΟΡΠΑΣ","Λάρνακα",24103501,"24103909"
24/10/20,"Σάββατο",1162,"Ραμίρεζ","Λύδια","Λεωφ. Παπανικολή 31Α","Δρόμος Σταδίου Ανόρθωσης","Λάρνακα",24634390,"96323458"
24/10/20,"Σάββατο",599,"Σεβέρης","Μάριος","Παύλου Βαλδασερίδη 8","Πλησίον CARREFOUR","Λάρνακα",24639410,"24662497"
25/10/20,"Κυριακή",282,"Χριστοδούλου","Παύλος","Ερμού 51Γ",,"Λάρνακα",24652702,"24360054"
25/10/20,"Κυριακή",363,"Ανδρέου","Δέσποινα","Λεωφ. Αρτέμιδος 30","Δρόμος Αεροδρομίου","Λάρνακα",24656884,"24361084"
26/10/20,"Δευτέρα",588,"Χριστοδούλου","Μαργαρίτα","Γωνία Αρμενικής Εκκλησίας 2","Πλησίον CYTA, Κέντρο πόλεως","Λάρνακα",24652440,"24626763"
26/10/20,"Δευτέρα",954,"Περικλέους","Ζόριτσα","Λεωφ. Γρίβα Διγενή 24","Μεταξύ φώτων Δροσιάς και φώτων πυροσβεστικής, έναντι ESSO","Λάρνακα",24624374,"24645918"
27/10/20,"Τρίτη",743,"Λάμπη","Μαρία","Αρχ. Μακαρίου ΙΙΙ & Γρηγ. Αυξεντίου","Ακάμια Center","Λάρνακα",24626447,"24361185"
27/10/20,"Τρίτη",698,"Ζόππου","Γεωργία","Λεωφ. Φανερωμένης 122","Πλησίον Ελληνικής Τράπεζας","Λάρνακα",24622810,"24651003"
28/10/20,"Τετάρτη",466,"Αποστολίδης","Παύλος","Κοσμά  Λυσιώτη 20","Τέρμα Ερμού προς παραλία","Λάρνακα",24627213,"24423271"
28/10/20,"Τετάρτη",700,"Κληρίδης","Αντώνης","Πατρών 6","Μεταξύ Κεντρικής Συνεργατικής Τράπεζας και φρουταρίας ¨Ζυγός¨","Λάρνακα",24622754,"24367765"
29/10/20,"Πέμπτη",991,"Κυρίτσης","Μάριος","Διανέλλου 107","Κοντά στην εκκλησία Χρυσοπολίτισσα","Λάρνακα",24656514,"24625038"
29/10/20,"Πέμπτη",759,"Συνεσίου","Μαρία","Λεωφ.Στρ.Τιμάγια 5","Μέγαρο Κυριάκος, Δίπλα από Marks & Spencer","Λάρνακα",24638765,"24634887"
30/10/20,"Παρασκευή",697,"Δημητρίου","Ανδρέας","Αρχ. Μακαρίου ΙΙΙ 44","Φωτα  ΕΘΝΙΚΗΣ τραπεζας - εναντι SAMSONITE","Λάρνακα",24822422,"24812188"
30/10/20,"Παρασκευή",693,"Παπαδοπούλου","Λίζα","Φανερωμένης 143","Έναντι Αποθήκης Σόλων Νεοφύτου","Λάρνακα",24654380,"24624699"
31/10/20,"Σάββατο",461,"Καίμης","Κύπρος","Αρχιεπισκόπου Μακαρίου ΙΙΙ 88","Έναντι PEUGEOT","Λάρνακα",24637044,"24626339"
31/10/20,"Σάββατο",971,"Ιωαννίδου","Χρυστάλλα","1ης Απριλίου 14",,"Λάρνακα",24650565,"99917405"
01/11/20,"Κυριακή",897,"Γρηγοράς","Αντώνης","Κυριάκου Μάτση  14","Θέατρο ""Σκάλα"" κάτω από Διόφαντο","Λάρνακα",24626332,"24657217"
01/11/20,"Κυριακή",586,"Μαυρή","Λουίζα","Στρατηγού Τιμάγια 9","Συντεχνιακό φαρμακείο ΠΕΟ","Λάρνακα",24655312,"96720773"
02/11/20,"Δευτέρα",972,"Θεοφάνους","Δέσπω","Λόρδου Βύρωνος και Γλαύστωνος 1","Έναντι Costa Coffee","Λάρνακα",24622522,"24720083"
02/11/20,"Δευτέρα",500,"Γεωργίου","Λευτέρης","Λεωφ. Αγίων Αναργύρων 50","Πλησίον Τεχνικής Σχολής","Λάρνακα",24631390,"99533388"
03/11/20,"Τρίτη",630,"Σεργίου","Ανδρέας","Αρχ. Μακαρίου 9","Πλήσιον Αστυνομικού Σταθμού Λάρνακας","Λάρνακα",24623110,"24530445"
03/11/20,"Τρίτη",1162,"Ραμίρεζ","Λύδια","Λεωφ. Παπανικολή 31Α","Δρόμος Σταδίου Ανόρθωσης","Λάρνακα",24634390,"96323458"
04/11/20,"Τετάρτη",494,"Σταύρου","Μέλιος","Ερμού 41 & Βασιλέως Ευαγόρου 8 ","Έναντι Beauty  Line","Λάρνακα",24628041,"24531731"
04/11/20,"Τετάρτη",700,"Κληρίδης","Αντώνης","Πατρών 6","Μεταξύ Κεντρικής Συνεργατικής Τράπεζας και φρουταρίας ¨Ζυγός¨","Λάρνακα",24622754,"24367765"
05/11/20,"Πέμπτη",328,"Ευλαβή","Κατερίνα","Αρχ. Μακαρίου 65Α","Πλησίον ΤΑΙΠΕΙ Κινέζικο εστιατόριο","Λάρνακα",24656469,"24662689"
05/11/20,"Πέμπτη",532,"Ασπρής","Νίκος","Λεωφόρος  Αρτέμιδος 48","Έναντι Ξεν/χείου ΛΑΓΙΩΤΗ","Λάρνακα",24624928,"24622102"
06/11/20,"Παρασκευή",773,"Καλαϊτζή","Παναγιώτα","Λεωφ. Λεοντίου Μαχαιρά 20Α","Εναντι πρωην Υπ.Σαρρη νυν SUPER DISCOUNT","Λάρνακα",24651205,"24819102"
06/11/20,"Παρασκευή",1113,"Παναγιώτου","Μικαέλλα","Λεωφ. Παπανικολή 39","Απέναντι από το Στάδιο Αντώνης Παπαδόπουλος (Ανόρθωσης)","Λάρνακα",24251166,"24663635"
07/11/20,"Σάββατο",680,"Ορφανίδης","Μισιέλ","Ερμού 24","Αρχή της Ερμού - 50μ. Από φώτα Ακρόπολης","Λάρνακα",24621360,"24531859"
07/11/20,"Σάββατο",1116,"Συμεού","Ελένη","Ραφαήλ Σάντη 15","Απέναντι από κλινική Τίμιου Σταυρού","Λάρνακα",24254008,"99921940"
08/11/20,"Κυριακή",494,"Σταύρου","Μέλιος","Ερμού 41 & Βασιλέως Ευαγόρου 8 ","Έναντι Beauty  Line","Λάρνακα",24628041,"24531731"
08/11/20,"Κυριακή",1109,"Παπανδριανός","Σπύρος","Λεωφ. Γιάννου Κρανιδιώτη 30","Πάρκινγκ ΑΛΦΑ ΜΕΓΑ","Λάρνακα",24660688,"99970233"
09/11/20,"Δευτέρα",570,"Ταμπουλλής","Μιχάλης","Αγίου Λαζάρου 50-52","Πλησίον Εκκλησίας Αγίου Λαζάρου","Λάρνακα",24628869,"24362890"
09/11/20,"Δευτέρα",657,"Κουλουμά Δημητρίου","Άννα","Ηνωμένων Εθνών 16Α","Δρόμος Λάρνακας-Λεμεσού","Λάρνακα",24642333,"24661155"
10/11/20,"Τρίτη",417,"Ευλαβής","Ανδρέας","Γρηγ. Αυξεντίου και Νικ. Μυλωνά, γωνία","Μέγαρο Κάριδερς, φώτα Αμερικανικής Ακαδημίας","Λάρνακα",24651317,"24662689"
10/11/20,"Τρίτη",1171,"Καραγιάννη","Άρτεμις","Πηλίου 5","Δρόμος Λεμεσού","Λάρνακα",24624555,"96796010"
11/11/20,"Τετάρτη",720,"Σωκράτους - Κυπριανού","Ελένη","Κιλκίς 15 - 17","Ανδρούλλα Court πλησίον Σχολής Καλογραιών","Λάρνακα",24651035,"24624163"
11/11/20,"Τετάρτη",724,"Χριστοφόρου","Ανδρέας","Λαρίσσης 21","Καμάρες - Προς Λεμεσό 400μ. μετά από το Cineplex","Λάρνακα",24364270,"24646753"
12/11/20,"Πέμπτη",1090,"Ζόππου","Κωνσταντίνος","Λεωφ. Γρηγόρη Αυξεντίου 40","Έναντι Δημοτική Βιβλιοθήκη. Κάτω από κλινική Δρ. Σίμου Κυριακίδη","Λάρνακα",24400450,"24651003"
12/11/20,"Πέμπτη",978,"Πασχάλης","Κωνσταντίνος","Λεωφ. Κωνσταντίνου Παλαιολόγου 37","Δρόμος Α.Η.Κ","Λάρνακα",24662233,"99489611"
13/11/20,"Παρασκευή",662,"Σμυρίλλη - Πύλα","Χριστίνα","Νικοδήμου Μυλωνά 12  ","Έναντι Υπεραγοράς ΜΕΤΡΟ","Λάρνακα",24650777,"24821580"
13/11/20,"Παρασκευή",758,"Καλαϊτζή","Άντρη","Λεωφ. Ηνωμένων Πολιτειών 9","Δρόμος Νέου Νοσοκομείου εκκλησία Αγίου Γεωργίου Κοντού","Λάρνακα",24638387,"24532906"
14/11/20,"Σάββατο",1040,"Ελευθερίου","Βασιλική","Παύλου Βαλδασερίδη 30","Δρόμος CARREFOUR, έναντι ΖΟΡΠΑΣ","Λάρνακα",24103501,"24103909"
14/11/20,"Σάββατο",826,"Ιακωβίδης","Σταύρος","Λεωφ. Φανερωμένης αρ. 189-191",,"Λάρνακα",24637499,"24657045"
15/11/20,"Κυριακή",599,"Σεβέρης","Μάριος","Παύλου Βαλδασερίδη 8","Πλησίον CARREFOUR","Λάρνακα",24639410,"24662497"
15/11/20,"Κυριακή",1162,"Ραμίρεζ","Λύδια","Λεωφ. Παπανικολή 31Α","Δρόμος Σταδίου Ανόρθωσης","Λάρνακα",24634390,"96323458"
16/11/20,"Δευτέρα",363,"Ανδρέου","Δέσποινα","Λεωφ. Αρτέμιδος 30","Δρόμος Αεροδρομίου","Λάρνακα",24656884,"24361084"
16/11/20,"Δευτέρα",282,"Χριστοδούλου","Παύλος","Ερμού 51Γ",,"Λάρνακα",24652702,"24360054"
17/11/20,"Τρίτη",954,"Περικλέους","Ζόριτσα","Λεωφ. Γρίβα Διγενή 24","Μεταξύ φώτων Δροσιάς και φώτων πυροσβεστικής, έναντι ESSO","Λάρνακα",24624374,"24645918"
17/11/20,"Τρίτη",588,"Χριστοδούλου","Μαργαρίτα","Γωνία Αρμενικής Εκκλησίας 2","Πλησίον CYTA, Κέντρο πόλεως","Λάρνακα",24652440,"24626763"
18/11/20,"Τετάρτη",698,"Ζόππου","Γεωργία","Λεωφ. Φανερωμένης 122","Πλησίον Ελληνικής Τράπεζας","Λάρνακα",24622810,"24651003"
18/11/20,"Τετάρτη",743,"Λάμπη","Μαρία","Αρχ. Μακαρίου ΙΙΙ & Γρηγ. Αυξεντίου","Ακάμια Center","Λάρνακα",24626447,"24361185"
19/11/20,"Πέμπτη",546,"Βέρνη","Λένια","Γιάννου Κρανιδιώτη 31-33","Μεταξύ Τροχαίας Λάρνακας & Κτηνιατρείου","Λάρνακα",24638470,"24533055"
19/11/20,"Πέμπτη",466,"Αποστολίδης","Παύλος","Κοσμά  Λυσιώτη 20","Τέρμα Ερμού προς παραλία","Λάρνακα",24627213,"24423271"
20/11/20,"Παρασκευή",759,"Συνεσίου","Μαρία","Λεωφ.Στρ.Τιμάγια 5","Μέγαρο Κυριάκος, Δίπλα από Marks & Spencer","Λάρνακα",24638765,"24634887"
20/11/20,"Παρασκευή",991,"Κυρίτσης","Μάριος","Διανέλλου 107","Κοντά στην εκκλησία Χρυσοπολίτισσα","Λάρνακα",24656514,"24625038"
21/11/20,"Σάββατο",693,"Παπαδοπούλου","Λίζα","Φανερωμένης 143","Έναντι Αποθήκης Σόλων Νεοφύτου","Λάρνακα",24654380,"24624699"
21/11/20,"Σάββατο",697,"Δημητρίου","Ανδρέας","Αρχ. Μακαρίου ΙΙΙ 44","Φωτα  ΕΘΝΙΚΗΣ τραπεζας - εναντι SAMSONITE","Λάρνακα",24822422,"24812188"
22/11/20,"Κυριακή",971,"Ιωαννίδου","Χρυστάλλα","1ης Απριλίου 14",,"Λάρνακα",24650565,"99917405"
22/11/20,"Κυριακή",461,"Καίμης","Κύπρος","Αρχιεπισκόπου Μακαρίου ΙΙΙ 88","Έναντι PEUGEOT","Λάρνακα",24637044,"24626339"
23/11/20,"Δευτέρα",586,"Μαυρή","Λουίζα","Στρατηγού Τιμάγια 9","Συντεχνιακό φαρμακείο ΠΕΟ","Λάρνακα",24655312,"96720773"
23/11/20,"Δευτέρα",897,"Γρηγοράς","Αντώνης","Κυριάκου Μάτση  14","Θέατρο ""Σκάλα"" κάτω από Διόφαντο","Λάρνακα",24626332,"24657217"
24/11/20,"Τρίτη",500,"Γεωργίου","Λευτέρης","Λεωφ. Αγίων Αναργύρων 50","Πλησίον Τεχνικής Σχολής","Λάρνακα",24631390,"99533388"
24/11/20,"Τρίτη",972,"Θεοφάνους","Δέσπω","Λόρδου Βύρωνος και Γλαύστωνος 1","Έναντι Costa Coffee","Λάρνακα",24622522,"24720083"
25/11/20,"Τετάρτη",693,"Παπαδοπούλου","Λίζα","Φανερωμένης 143","Έναντι Αποθήκης Σόλων Νεοφύτου","Λάρνακα",24654380,"24624699"
25/11/20,"Τετάρτη",630,"Σεργίου","Ανδρέας","Αρχ. Μακαρίου 9","Πλήσιον Αστυνομικού Σταθμού Λάρνακας","Λάρνακα",24623110,"24530445"
26/11/20,"Πέμπτη",700,"Κληρίδης","Αντώνης","Πατρών 6","Μεταξύ Κεντρικής Συνεργατικής Τράπεζας και φρουταρίας ¨Ζυγός¨","Λάρνακα",24622754,"24367765"
26/11/20,"Πέμπτη",494,"Σταύρου","Μέλιος","Ερμού 41 & Βασιλέως Ευαγόρου 8 ","Έναντι Beauty  Line","Λάρνακα",24628041,"24531731"
27/11/20,"Παρασκευή",532,"Ασπρής","Νίκος","Λεωφόρος  Αρτέμιδος 48","Έναντι Ξεν/χείου ΛΑΓΙΩΤΗ","Λάρνακα",24624928,"24622102"
27/11/20,"Παρασκευή",328,"Ευλαβή","Κατερίνα","Αρχ. Μακαρίου 65Α","Πλησίον ΤΑΙΠΕΙ Κινέζικο εστιατόριο","Λάρνακα",24656469,"24662689"
28/11/20,"Σάββατο",1113,"Παναγιώτου","Μικαέλλα","Λεωφ. Παπανικολή 39","Απέναντι από το Στάδιο Αντώνης Παπαδόπουλος (Ανόρθωσης)","Λάρνακα",24251166,"24663635"
28/11/20,"Σάββατο",773,"Καλαϊτζή","Παναγιώτα","Λεωφ. Λεοντίου Μαχαιρά 20Α","Εναντι πρωην Υπ.Σαρρη νυν SUPER DISCOUNT","Λάρνακα",24651205,"24819102"
29/11/20,"Κυριακή",1116,"Συμεού","Ελένη","Ραφαήλ Σάντη 15","Απέναντι από κλινική Τίμιου Σταυρού","Λάρνακα",24254008,"99921940"
29/11/20,"Κυριακή",680,"Ορφανίδης","Μισιέλ","Ερμού 24","Αρχή της Ερμού - 50μ. Από φώτα Ακρόπολης","Λάρνακα",24621360,"24531859"
30/11/20,"Δευτέρα",1109,"Παπανδριανός","Σπύρος","Λεωφ. Γιάννου Κρανιδιώτη 30","Πάρκινγκ ΑΛΦΑ ΜΕΓΑ","Λάρνακα",24660688,"99970233"
30/11/20,"Δευτέρα",630,"Σεργίου","Ανδρέας","Αρχ. Μακαρίου 9","Πλήσιον Αστυνομικού Σταθμού Λάρνακας","Λάρνακα",24623110,"24530445"
01/12/20,"Τρίτη",657,"Κουλουμά Δημητρίου","Άννα","Ηνωμένων Εθνών 16Α","Δρόμος Λάρνακας-Λεμεσού","Λάρνακα",24642333,"24661155"
01/12/20,"Τρίτη",570,"Ταμπουλλής","Μιχάλης","Αγίου Λαζάρου 50-52","Πλησίον Εκκλησίας Αγίου Λαζάρου","Λάρνακα",24628869,"24362890"
02/12/20,"Τετάρτη",1171,"Καραγιάννη","Άρτεμις","Πηλίου 5","Δρόμος Λεμεσού","Λάρνακα",24624555,"96796010"
02/12/20,"Τετάρτη",417,"Ευλαβής","Ανδρέας","Γρηγ. Αυξεντίου και Νικ. Μυλωνά, γωνία","Μέγαρο Κάριδερς, φώτα Αμερικανικής Ακαδημίας","Λάρνακα",24651317,"24662689"
03/12/20,"Πέμπτη",724,"Χριστοφόρου","Ανδρέας","Λαρίσσης 21","Καμάρες - Προς Λεμεσό 400μ. μετά από το Cineplex","Λάρνακα",24364270,"24646753"
03/12/20,"Πέμπτη",720,"Σωκράτους - Κυπριανού","Ελένη","Κιλκίς 15 - 17","Ανδρούλλα Court πλησίον Σχολής Καλογραιών","Λάρνακα",24651035,"24624163"
04/12/20,"Παρασκευή",978,"Πασχάλης","Κωνσταντίνος","Λεωφ. Κωνσταντίνου Παλαιολόγου 37","Δρόμος Α.Η.Κ","Λάρνακα",24662233,"99489611"
04/12/20,"Παρασκευή",1090,"Ζόππου","Κωνσταντίνος","Λεωφ. Γρηγόρη Αυξεντίου 40","Έναντι Δημοτική Βιβλιοθήκη. Κάτω από κλινική Δρ. Σίμου Κυριακίδη","Λάρνακα",24400450,"24651003"
05/12/20,"Σάββατο",758,"Καλαϊτζή","Άντρη","Λεωφ. Ηνωμένων Πολιτειών 9","Δρόμος Νέου Νοσοκομείου εκκλησία Αγίου Γεωργίου Κοντού","Λάρνακα",24638387,"24532906"
05/12/20,"Σάββατο",662,"Σμυρίλλη - Πύλα","Χριστίνα","Νικοδήμου Μυλωνά 12  ","Έναντι Υπεραγοράς ΜΕΤΡΟ","Λάρνακα",24650777,"24821580"
06/12/20,"Κυριακή",826,"Ιακωβίδης","Σταύρος","Λεωφ. Φανερωμένης αρ. 189-191",,"Λάρνακα",24637499,"24657045"
06/12/20,"Κυριακή",1040,"Ελευθερίου","Βασιλική","Παύλου Βαλδασερίδη 30","Δρόμος CARREFOUR, έναντι ΖΟΡΠΑΣ","Λάρνακα",24103501,"24103909"
07/12/20,"Δευτέρα",1162,"Ραμίρεζ","Λύδια","Λεωφ. Παπανικολή 31Α","Δρόμος Σταδίου Ανόρθωσης","Λάρνακα",24634390,"96323458"
07/12/20,"Δευτέρα",599,"Σεβέρης","Μάριος","Παύλου Βαλδασερίδη 8","Πλησίον CARREFOUR","Λάρνακα",24639410,"24662497"
08/12/20,"Τρίτη",282,"Χριστοδούλου","Παύλος","Ερμού 51Γ",,"Λάρνακα",24652702,"24360054"
08/12/20,"Τρίτη",363,"Ανδρέου","Δέσποινα","Λεωφ. Αρτέμιδος 30","Δρόμος Αεροδρομίου","Λάρνακα",24656884,"24361084"
09/12/20,"Τετάρτη",588,"Χριστοδούλου","Μαργαρίτα","Γωνία Αρμενικής Εκκλησίας 2","Πλησίον CYTA, Κέντρο πόλεως","Λάρνακα",24652440,"24626763"
09/12/20,"Τετάρτη",954,"Περικλέους","Ζόριτσα","Λεωφ. Γρίβα Διγενή 24","Μεταξύ φώτων Δροσιάς και φώτων πυροσβεστικής, έναντι ESSO","Λάρνακα",24624374,"24645918"
10/12/20,"Πέμπτη",743,"Λάμπη","Μαρία","Αρχ. Μακαρίου ΙΙΙ & Γρηγ. Αυξεντίου","Ακάμια Center","Λάρνακα",24626447,"24361185"
10/12/20,"Πέμπτη",698,"Ζόππου","Γεωργία","Λεωφ. Φανερωμένης 122","Πλησίον Ελληνικής Τράπεζας","Λάρνακα",24622810,"24651003"
